congress,chamber,icpsr,district_code,state_abbrev,party_code,bioname,d1
91,House,91043,7,MI,R,"RIEGLE, Donald Wayne, Jr.",-0.419
91,House,789,8,MN,D,"BLATNIK, John Anton",-0.4
91,House,5098,4,MN,D,"KARTH, Joseph Edward",-0.177
91,House,5451,7,MN,R,"LANGEN, Odin Elsford Stanley",1.443
91,House,6860,2,MN,R,"NELSEN, Ancher",-0.126
91,House,7671,1,MN,R,"QUIE, Albert Harold",-0.326
91,House,10533,3,MN,R,"MacGREGOR, Clark",-0.176
91,House,10585,5,MN,D,"FRASER, Donald MacKay",-0.528
91,House,11060,6,MN,R,"ZWACH, John Matthew",1.354
91,House,13,1,MS,D,"ABERNETHY, Thomas Gerstle",-0.035
91,House,1952,5,MS,D,"COLMER, William Meyers",1.484
91,House,10075,2,MS,D,"WHITTEN, Jamie Lloyd",2.896
91,House,11035,4,MS,D,"MONTGOMERY, Gillespie V. (Sonny)",2.544
91,House,11065,3,MS,D,"GRIFFIN, Charles Hudson",0.089
91,House,835,5,MO,D,"BOLLING, Richard Walker",0.012
91,House,4724,6,MO,D,"HULL, William Raleigh, Jr.",-0.167
91,House,7717,4,MO,D,"RANDALL, William Joseph",-0.327
91,House,9072,3,MO,D,"SULLIVAN, Leonor Kretzer",-0.383
91,House,10523,7,MO,R,"HALL, Durward Gorham",4.076
91,House,10528,8,MO,D,"ICHORD, Richard Howard, II",-0.172
91,House,10740,9,MO,D,"HUNGATE, William Leonard",-1.9
91,House,12004,10,MO,D,"BURLISON, Bill D.",2.253
91,House,12009,1,MO,D,"CLAY, William Lacy, Sr.",-1.849
91,House,12031,2,MO,D,"SYMINGTON, James Wadsworth",-2.044
91,House,10543,1,MT,D,"OLSEN, Arnold",-0.234
91,House,12039,2,MT,D,"MELCHER, John",-1.87
91,House,2255,2,NE,R,"CUNNINGHAM, Glenn Clarence",1.958
91,House,10534,3,NE,R,"MARTIN, David Thomas",-0.269
91,House,11012,1,NE,R,"DENNEY, Robert Vernon",1.499
91,House,433,1,NV,D,"BARING, Walter Stephan, Jr.",0.182
91,House,10581,2,NH,R,"CLEVELAND, James Colgate",-0.225
91,House,10639,1,NH,R,"WYMAN, Louis Crosby",1.418
91,House,1393,6,NJ,R,"CAHILL, William Thomas",-0.063
91,House,2329,14,NJ,D,"DANIELS, Dominick Vincent",-0.311
91,House,2804,12,NJ,R,"DWYER, Florence Price",-0.257
91,House,3364,5,NJ,R,"FRELINGHUYSEN, Peter Hood Ballantine, Jr.",-0.242
