"","icpsr","name","party_code","state_abbrev","ambiguity","dim1","dim2","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","se1D","prop1","prop2","prop3","chamber"
"1899","21524","POLIQUIN, Bruce Lee","200","ME",0,0.36,"-0.182",87,6,19,92,0.73065710067749,0.877450980392157,0.415579676628113,0,93.5483870967742,82.8828828828829,88.2156349898285,"House"
"1900","21549","RATCLIFFE, John","200","TX",0,0.693,"0.113",121,2,2,118,0.9616579413414,0.983539094650206,0.863723516464233,0,98.3739837398374,98.3333333333333,98.3536585365854,"House"
"1901","21540","RICE, Kathleen Maura","100","NY",0,-0.28,"0.039",143,1,1,118,0.970824182033539,0.992395437262357,-0.479544430971146,0,99.3055555555556,99.1596638655462,99.2326097105509,"House"
"1902","21544","ROUZER, David","200","NC",0,0.564,"0.247",132,4,5,128,0.906247913837433,0.966542750929368,0.707987427711487,0,97.0588235294118,96.2406015037594,96.6497125165856,"House"
"1903","21546","RUSSELL, Steve","200","OK",0,0.473,"-0.183",97,2,13,91,0.77450293302536,0.926108374384236,0.543658137321472,0,97.979797979798,87.5,92.739898989899,"House"
"1904","21541","STEFANIK, Elise M","200","NY",0,0.301,"-0.125",112,19,21,118,0.722020030021667,0.851851851851852,0.362666547298431,0,85.4961832061069,84.8920863309353,85.194134768521,"House"
"1905","21517","TAKAI, Mark","100","HI",0,-0.363,"-0.038",35,0,0,30,0.998946070671082,1,-1,0,100,100,100,"House"
"1906","21508","TORRES, Norma Judith","100","CA",0,-0.363,"0.046",147,0,1,121,0.976206362247467,0.996282527881041,-0.413301885128021,0,100,99.1803278688525,99.5901639344262,"House"
"1907","21528","TROTT, David A.","200","MI",0,0.369,"0.257",99,4,2,96,0.910012185573578,0.970149253731343,0.586531758308411,0,96.1165048543689,97.9591836734694,97.0378442639192,"House"
"1908","21543","WALKER, Bradley Mark","200","NC",0,0.641,"0.017",119,0,2,122,0.97101217508316,0.991769547325103,0.850949823856354,0,100,98.3870967741936,99.1935483870968,"House"
"1909","21509","WALTERS, Mimi","200","CA",0,0.433,"0.177",95,6,0,93,0.933186948299408,0.969072164948454,0.666482865810394,0,94.059405940594,100,97.029702970297,"House"
"1910","21538","WATSON COLEMAN, Bonnie","100","NJ",0,-0.608,"-0.193",146,1,0,119,0.989718914031982,0.996240601503759,-0.55170863866806,0,99.3197278911565,100,99.6598639455782,"House"
"1911","21563","WESTERMAN, Bruce Eugene","200","AR",0,0.55,"0.305",129,1,3,135,0.955586194992065,0.985074626865672,0.810750961303711,0,99.2307692307692,97.8260869565217,98.5284280936455,"House"
"1912","21521","YOUNG, David","200","IA",0,0.442,"-0.038",104,2,0,98,0.948151230812073,0.990196078431373,0.717752933502197,0,98.1132075471698,100,99.0566037735849,"House"
"1913","21539","ZELDIN, Lee M","200","NY",0,0.397,"-0.129",125,11,12,120,0.801154017448425,0.914179104477612,0.525194883346558,0,91.9117647058823,90.9090909090909,91.4104278074866,"House"
"1914","21532","ZINKE, Ryan","200","MT",0,0.43,"-0.127",59,3,3,59,0.86161470413208,0.951612903225806,0.639807164669037,0,95.1612903225807,95.1612903225807,95.1612903225807,"House"
"1915","21560","DONOVAN, Daniel M., Jr.","200","NY",0,0.227,"0.095",77,6,6,99,0.826882481575012,0.936170212765957,0.459732323884964,0,92.7710843373494,94.2857142857143,93.5283993115318,"House"
"1916","21561","KELLY, Trent","200","MS",0,0.637,"0.273",113,2,1,125,0.952311158180237,0.987551867219917,0.830557644367218,0,98.2608695652174,99.2063492063492,98.7336093857833,"House"
"1917","21562","LaHOOD, Darin","200","IL",0,0.458,"0.217",112,3,2,107,0.916138470172882,0.977678571428571,0.737392663955688,0,97.3913043478261,98.1651376146789,97.7782209812525,"House"
"1918","21564","DAVIDSON, Warren","200","OH",0,0.659,"-0.355",81,1,3,87,0.922506332397461,0.976744186046512,0.846042275428772,0,98.780487804878,96.6666666666667,97.7235772357724,"House"
"1919","21700","ARRINGTON, Jodey Cook","200","TX",0,0.642,"0.003",66,2,2,72,0.905536592006683,0.971830985915493,0.787353098392487,0,97.0588235294118,97.2972972972973,97.1780604133545,"House"
"1920","21701","BACON, Donald J.","200","NE",0,0.294,"0.156",69,9,2,63,0.802302122116089,0.923076923076923,0.55117279291153,0,88.4615384615385,96.9230769230769,92.6923076923077,"House"
"1921","21702","BANKS, James E.","200","IN",0,0.651,"0.058",65,0,1,78,0.954779863357544,0.993055555555556,0.886572003364563,0,100,98.7341772151899,99.3670886075949,"House"
"1922","21703","BARRAGÁN, Nanette Diaz","100","CA",0,-0.506,"-0.105",81,0,0,61,0.988191366195679,1,-0.488188594579697,0,100,100,100,"House"
"1923","21704","BERGMAN, John","200","MI",0,0.436,"0.079",67,8,1,66,0.823195099830627,0.936619718309859,0.64397782087326,0,89.3333333333333,98.5074626865672,93.9203980099502,"House"
"1924","21705","BIGGS, Andrew S.","200","AZ",0,0.827,"-0.562",59,3,0,81,0.931633293628693,0.979020979020979,1,0,95.1612903225807,100,97.5806451612903,"House"
"1925","21706","BLUNT ROCHESTER, Lisa","100","DE",0,-0.347,"-0.153",83,1,1,59,0.971598386764526,0.986111111111111,-0.372348815202713,0,98.8095238095238,98.3333333333333,98.5714285714286,"House"
"1926","21707","BROWN, Anthony Gregory","100","MD",0,-0.344,"-0.063",83,0,2,59,0.980010032653809,0.986111111111111,-0.452714800834656,0,100,96.7213114754098,98.3606557377049,"House"
"1927","21708","BUDD, Theodore Paul","200","NC",0,0.634,"-0.074",65,2,3,70,0.923822224140167,0.964285714285714,0.796615600585938,0,97.0149253731343,95.8904109589041,96.4526681660192,"House"
"1928","21709","CARBAJAL, Salud","100","CA",0,-0.31,"0.101",83,0,0,61,0.988280534744263,1,-0.48928090929985,0,100,100,100,"House"
"1929","21710","CHENEY, Liz","200","WY",0,0.405,"0.82",61,0,1,72,0.957717955112457,0.992537313432836,0.846093058586121,0,100,98.6301369863014,99.3150684931507,"House"
"1930","21565","COMER, James","200","KY",0,0.595,"-0.039",68,1,1,74,0.937413811683655,0.986111111111111,0.805495321750641,0,98.5507246376812,98.6666666666667,98.6086956521739,"House"
